   TEMP	   DEWP	  SLP  	  STP  	 VISIB	  WSDP	 MXSPD	  GUST	   MAX  	  MIN  	PRCP  	SNDP 	 FRSHTT
78.2	68.1	1010.5	1008.8	3.7	3.5	14	999.9	87.4	69.8	0	999.9	0
78.1	66.9	1011.3	1009.5	4.1	3.4	12	999.9	89.2	66.7	0	999.9	0
78.7	70.2	9999.9	9999.9	4	2	9.9	999.9	89.6	68.7	0	999.9	0
78.5	70	1010.2	1008.4	3.4	3.3	14	22	92.3	69.1	0	999.9	0
79.8	70.9	9999.9	9999.9	4.1	4.4	12	22	88	68.4	0	999.9	32
78.6	71.5	1009.8	1008.1	3.9	2.1	11.1	999.9	88.9	70.2	0	999.9	0
80	73.8	1009.7	1007.9	3.7	2.5	8.9	999.9	89.4	72.7	0	999.9	0
81.6	74.4	1009	1007.3	3.8	2.3	8	999.9	90.1	75.2	0	999.9	0
82.5	73	9999.9	9999.9	4	5.3	12	22	92.8	76.6	0	999.9	0
82.6	73.8	9999.9	9999.9	3.8	5.6	12	22	92.5	76.1	0	999.9	0
83.1	73.8	9999.9	9999.9	4.8	6	15	25.1	92.3	75.9	0	999.9	0
82.9	72.7	9999.9	9999.9	4.4	7.3	20	25.1	92.1	74.5	0	999.9	0
82.9	74.3	9999.9	9999.9	4.6	6.8	20	999.9	91.4	75.9	0	999.9	0
83	74.1	1008.8	1007.1	4.4	6	14	20	93.2	75.6	0	999.9	0
82.1	74.7	1008	1006.3	4.1	4	9.9	999.9	92.5	75.7	0	999.9	0
81.7	73.5	1007.6	1007.1	4.1	5.5	22	999.9	93.6	75.2	0	999.9	0
82.1	74.5	1008	1006.3	4	2.8	8	999.9	92.5	74.5	0	999.9	0
84	74.5	9999.9	9999.9	4.8	9.2	14	23.9	92.5	74.8	0	999.9	0
83.1	74.1	9999.9	9999.9	4.1	6.1	13	22	94.1	75.2	0	999.9	0
82.7	72.5	1008.6	1006.9	4.3	6.2	15	20	93.6	73.8	0	999.9	0
82.7	73.3	9999.9	9999.9	4.6	5.9	15	999.9	91.4	72.7	0	999.9	0
83	72.4	1010.5	1008.6	3.4	4.3	14	999.9	91.4	75	0	999.9	0
82.5	73	1010.2	1008.5	3.8	3.5	12	999.9	91.4	74.8	0	999.9	0
83.6	72.5	9999.9	9999.9	4.5	4.8	14	999.9	90.7	75.6	0	999.9	0
